"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"766","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 14:11:00,FALSE,NA,"1085177534512316417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TineyiMachobani",184,TRUE,FALSE,NA,NA
"767","RT @makonia2010: @DavidColtart @Twitter @WhatsApp @facebook @UKinZimbabwe @euinzim @UKSimonT @burke_jason Harare is totally shutdown. The t<U+2026>",FALSE,0,NA,2019-01-15 14:08:34,FALSE,NA,"1085176920243929088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ras_trickstar",13,TRUE,FALSE,NA,NA
"768","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 14:07:54,FALSE,NA,"1085176754208231424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ras_trickstar",184,TRUE,FALSE,NA,NA
"769","@jackiefloyd17 @blackburndarwen @WhatsApp No idea who my ward councillor is as we only tend to see them around voti<U+2026> https://t.co/GySl9TVrAI",FALSE,0,"jackiefloyd17",2019-01-15 14:06:06,TRUE,"1085175694974423041","1085176301605015552","1157029267","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lecky1",0,FALSE,FALSE,NA,NA
"770","Listen to Yuval Yeret on episode 18 of the With Great People #podcast

https://t.co/HTmKi5j0Og

@yuvalyeret<U+2026> https://t.co/WjDnHyaP5L",FALSE,2,NA,2019-01-15 14:05:08,TRUE,NA,"1085176057660129281",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","rkasper",1,FALSE,FALSE,NA,NA
"771","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 14:05:03,FALSE,NA,"1085176035329617923",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","JustIce22451798",184,TRUE,FALSE,NA,NA
"772","@lecky1 @blackburndarwen @WhatsApp Please go through your ward councillor. Of course there<U+2019>s work being assessed, b<U+2026> https://t.co/FptPJRyRrp",FALSE,0,"lecky1",2019-01-15 14:03:41,TRUE,"1085170381265227776","1085175694974423041","21513218","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jackiefloyd17",0,FALSE,FALSE,NA,NA
"773","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 14:02:33,FALSE,NA,"1085175406200844289",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","MushongaTariro",184,TRUE,FALSE,NA,NA
"774","We ask companies to confirm / correct any info. @Airbnb @Amazon @AppleSupport @BuzzFeed @eBay @facebook @instagram<U+2026> https://t.co/g2RdRgBYa4",FALSE,26,"endforcedarb",2019-01-15 14:00:15,TRUE,"1085174825495203840","1085174827303010307","1071974430564368384","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","endforcedarb",26,FALSE,FALSE,NA,NA
"775","@cazawaty @DavidColtart @Twitter @WhatsApp @facebook @UKinZimbabwe @euinzim @UKSimonT @burke_jason Saka kupisa mota<U+2026> https://t.co/x7lyyHkCYD",FALSE,0,"cazawaty",2019-01-15 13:59:45,TRUE,"1085170246078685185","1085174702551773187","842861586","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ronaldr12079702",0,FALSE,FALSE,NA,NA
"776","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 13:55:57,FALSE,NA,"1085173746548305920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","guyfromtwitta",184,TRUE,FALSE,NA,NA
"777","yo @WhatsApp how can I block my phone from receiving audios?",FALSE,0,NA,2019-01-15 13:52:11,FALSE,NA,"1085172798581075968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CesarHn95",0,FALSE,FALSE,NA,NA
"778","Here's how to dictate your @WhatsApp messages
https://t.co/zmijh8aHPK",FALSE,1,NA,2019-01-15 13:51:47,FALSE,NA,"1085172699851341826",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ExpressTechie",0,FALSE,FALSE,NA,NA
"779","RT @thuliw: RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in<U+2026> https://t.co/mUspZjj2ln",FALSE,0,NA,2019-01-15 13:48:55,TRUE,NA,"1085171978435207169",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","twimboz",0,FALSE,FALSE,NA,NA
"780","@impaa1 @WABetaInfo @WhatsApp Yes, also wasn't working in 2.19.7",FALSE,0,"impaa1",2019-01-15 13:47:43,FALSE,"1085157168494583809","1085171673446400000","104035112","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AndyCiesielski",0,FALSE,FALSE,NA,NA
"781","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 13:47:15,FALSE,NA,"1085171559642222592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thuliw",184,TRUE,FALSE,NA,NA
"782","Even when I'm at home, keeping in touch with friends that are travelling is a must for me! I use @WhatsApp a lot. H<U+2026> https://t.co/q2p7ZSv1As",FALSE,0,NA,2019-01-15 13:45:17,TRUE,NA,"1085171062000795648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","penniless_the",0,FALSE,FALSE,NA,NA
"783","@blackburndarwen @jackiefloyd17 @WhatsApp Do they know what<U+2019>s happening with Green Lane bridge because no one at the council seems to know",FALSE,2,"blackburndarwen",2019-01-15 13:42:35,FALSE,"1085157946626109441","1085170381265227776","19308765","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lecky1",0,FALSE,FALSE,NA,NA
"784","@cazawaty @DavidColtart @Twitter @WhatsApp @facebook @UKinZimbabwe @euinzim @UKSimonT @burke_jason Those ones looti<U+2026> https://t.co/HU6GavFmxu",FALSE,0,"cazawaty",2019-01-15 13:40:21,TRUE,"1085169126371459072","1085169820855926784","842861586","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ronaldr12079702",0,FALSE,FALSE,NA,NA
"785","RT @sid_kamal: #Indian2 Fever in my @WhatsApp  Status is Unbelievable 

@shankarshanmugh + @ikamalhaasan The two Great Mind of Indian Cinem<U+2026>",FALSE,0,NA,2019-01-15 13:37:17,FALSE,NA,"1085169047648403456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PraveenPhilip81",30,TRUE,FALSE,NA,NA
"786","Wish you could hide your online status from individual people on  @WhatsApp",FALSE,0,NA,2019-01-15 13:36:09,FALSE,NA,"1085168764080082945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JamesVaughan_",0,FALSE,FALSE,NA,NA
"787","RT @sid_kamal: #Indian2 Fever in my @WhatsApp  Status is Unbelievable 

@shankarshanmugh + @ikamalhaasan The two Great Mind of Indian Cinem<U+2026>",FALSE,0,NA,2019-01-15 13:34:58,FALSE,NA,"1085168466980524033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anandg23",30,TRUE,FALSE,NA,NA
"788","@DavidColtart @Twitter @WhatsApp @facebook @UKinZimbabwe @euinzim @UKSimonT @burke_jason That worked really well in Egypt and Tunisia <U+0001F923><U+0001F923><U+0001F923>",FALSE,0,"DavidColtart",2019-01-15 13:34:35,FALSE,"1085085263620198400","1085168367831519232","18060854","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","errolbc",0,FALSE,FALSE,NA,NA
"789","@DavidColtart @Twitter @WhatsApp @facebook @UKinZimbabwe @euinzim @UKSimonT @burke_jason Take it thats shut down u<U+2026> https://t.co/NJzO2UzAFs",FALSE,0,"DavidColtart",2019-01-15 13:33:50,TRUE,"1085085263620198400","1085168182141308929","18060854","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ronaldr12079702",0,FALSE,FALSE,NA,NA
"790","RT @blackburndarwen: Meet Cllr @jackiefloyd17 and Mumtaz! <U+0001F44B>

Jackie and Mumtaz are part of our #RedBagRevolution <U+0001F534> - an army of volunteers<U+2026>",FALSE,0,NA,2019-01-15 13:31:08,FALSE,NA,"1085167503582654464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fatimad123",3,TRUE,FALSE,NA,NA
"791","Necesito un suricato en los iconos del WhatsApp. Urgentemente. 

@WhatsApp  I urgently need a meerkat emoji. Please<U+2026> https://t.co/9WbNpuCIAh",FALSE,0,NA,2019-01-15 13:27:46,TRUE,NA,"1085166653384679424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BibiStrawberry",0,FALSE,FALSE,NA,NA
"792","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 13:14:35,FALSE,NA,"1085163336369504256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Zimheepo",184,TRUE,FALSE,NA,NA
"793","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 13:13:15,FALSE,NA,"1085163001664208896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wringleys254",184,TRUE,FALSE,NA,NA
"794","Meet Cllr @jackiefloyd17 and Mumtaz! <U+0001F44B>

Jackie and Mumtaz are part of our #RedBagRevolution <U+0001F534> - an army of voluntee<U+2026> https://t.co/sVYyPQITRy",FALSE,10,NA,2019-01-15 12:53:10,TRUE,NA,"1085157946626109441",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","blackburndarwen",3,FALSE,FALSE,NA,NA
"795","@WhatsApp Why did you guys change the classic chocolate donut emoji for this sprinkled pink abomination?

Why can't<U+2026> https://t.co/n7STTLK1Ha",FALSE,0,"WhatsApp",2019-01-15 12:52:56,TRUE,NA,"1085157888954458119","40148479","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","raulmckool",0,FALSE,FALSE,NA,NA
"796","I love that you can unsend messages on @instagram. @WhatsApp should have that feature on permanently as well. 
#deletesoon #instantmessaging",FALSE,0,NA,2019-01-15 12:51:38,FALSE,NA,"1085157559332417537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DivaDevs",0,FALSE,FALSE,NA,NA
"797","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 12:51:13,FALSE,NA,"1085157458014814208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Snowman_jnr",184,TRUE,FALSE,NA,NA
"798","@WABetaInfo @WhatsApp  I am a beta user with version 2.19.8 but I am facing issue with the use of gif function it i<U+2026> https://t.co/WuixJb4FN7",FALSE,0,"WABetaInfo",2019-01-15 12:50:04,TRUE,NA,"1085157168494583809","4765005804","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","impaa1",0,FALSE,FALSE,NA,NA
"799","RT @tech2eets: .@WhatsApp for @Apple #iOS has recieved the 'Reply Privately' feature for group chats. No more getting out of the group and<U+2026>",FALSE,0,NA,2019-01-15 12:46:16,FALSE,NA,"1085156212465750016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tarunsinghal_ca",8,TRUE,FALSE,NA,NA
"800","@ChiroxyB For me the online feature is what should go next please @WhatsApp <U+0001F64F><U+0001F3FC>. I<U+2019>ve also never added anything on that status update thing.",FALSE,1,"ChiroxyB",2019-01-15 12:41:57,FALSE,"1085124261508014081","1085155125939838976","781330352950353920","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maNkomo16",0,FALSE,FALSE,NA,NA
"801","RT @peterevance_: I hate whatsApp GB .....Heey @WhatsApp please bring this mod  down 

if you're with me rt this till it get to them!",FALSE,0,NA,2019-01-15 12:38:08,FALSE,NA,"1085154163955245056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peterevance_",1,TRUE,FALSE,NA,NA
"802","RT @tongai: The revolution will not be televised. There is no @WhatsApp @Twitter @facebook @instagram access in Zimbabwe. Hear no evil see<U+2026>",FALSE,0,NA,2019-01-15 12:29:48,FALSE,NA,"1085152065276530689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mamoyo_Speciari",4,TRUE,FALSE,NA,NA
"803","RT @tongai: The revolution will not be televised. There is no @WhatsApp @Twitter @facebook @instagram access in Zimbabwe. Hear no evil see<U+2026>",FALSE,0,NA,2019-01-15 12:29:12,FALSE,NA,"1085151917226057728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dev_petersen",4,TRUE,FALSE,NA,NA
"804","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 12:23:52,FALSE,NA,"1085150572670529538",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","giwukumene",184,TRUE,FALSE,NA,NA
"805","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 12:20:14,FALSE,NA,"1085149660266795011",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","africasyogi",184,TRUE,FALSE,NA,NA
"806","@WhatsApp team my web WhatsApp is not working, plz check",FALSE,0,"WhatsApp",2019-01-15 12:14:39,FALSE,NA,"1085148255267246080","40148479","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dev13909321",0,FALSE,FALSE,NA,NA
"807","@WhatsApp We almost peoples are now using this apps as a group to exchange news &amp; views but its a big problem that<U+2026> https://t.co/Apg5psuesg",FALSE,0,"WhatsApp",2019-01-15 12:12:01,TRUE,NA,"1085147589958344706","40148479","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ABURAQIB",0,FALSE,FALSE,NA,NA
